epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.31,1.40277,3.88123,1.25748,0.89337,0.35902,0.51349,0.26021,1.49942,2.73395,0.99548,0.000331891,0.000331891,0.000331891
2,506.9,1.2799,2.03763,1.15199,0.62335,0.59734,0.58303,0.30833,1.59539,3.38122,1.15756,0.000665129,0.000665129,0.000665129
3,746.439,1.35721,1.48497,1.2006,0.83293,0.55799,0.66086,0.35894,1.50759,1.27031,1.06386,0.000997716,0.000997716,0.000997716
4,954.467,1.30464,1.18751,1.15779,0.74198,0.49898,0.60965,0.28817,1.57422,1.009,1.12026,0.00132917,0.00132917,0.00132917
5,1162.01,1.29974,1.08204,1.16023,0.65056,0.46226,0.51647,0.25798,1.403,1.16729,1.05909,0.00165899,0.00165899,0.00165899
6,1374.59,1.29439,1.05027,1.14281,0.73674,0.7207,0.71919,0.36934,1.39969,1.14404,0.98961,0.00165684,0.00165684,0.00165684
7,1574.44,1.23237,0.94229,1.11025,0.77365,0.73873,0.73648,0.38352,1.48198,0.96396,0.94238,0.00165238,0.00165238,0.00165238
8,1782.36,1.22254,0.95908,1.11316,0.91096,0.35143,0.6174,0.34081,1.29073,1.13711,0.89336,0.00164713,0.00164713,0.00164713
9,1992.75,1.16728,0.86804,1.0928,0.8446,0.62049,0.73738,0.36989,1.33723,0.74661,0.94859,0.00164108,0.00164108,0.00164108
10,2205.4,1.13511,0.81893,1.07053,0.83313,0.72234,0.74739,0.42738,1.25023,0.85231,0.89818,0.00163424,0.00163424,0.00163424
11,2408.66,1.06504,0.79228,1.05709,0.95959,0.71058,0.77006,0.36798,1.33925,0.75956,0.98533,0.00162661,0.00162661,0.00162661
12,2612.45,1.06434,0.76826,1.0511,0.72486,0.74501,0.8021,0.43718,1.24757,0.6884,0.8947,0.00161822,0.00161822,0.00161822
13,2822.85,1.02721,0.71935,1.04321,0.97658,0.71999,0.8311,0.44447,1.19248,0.65994,0.87863,0.00160905,0.00160905,0.00160905
14,3031.66,1.04376,0.71916,1.04513,0.80273,0.74834,0.80304,0.494,1.27905,0.6651,0.90033,0.00159913,0.00159913,0.00159913
15,3233.22,0.96105,0.68389,1.01575,0.80116,0.73167,0.78721,0.41939,1.15896,0.66873,0.83822,0.00158847,0.00158847,0.00158847
16,3433.08,0.97751,0.67012,1.00142,0.78258,0.70621,0.76756,0.42623,1.21671,0.67713,0.88199,0.00157706,0.00157706,0.00157706
17,3634.78,0.97473,0.68475,1.00882,0.89897,0.72486,0.79347,0.49016,1.15449,0.96222,0.85055,0.00156493,0.00156493,0.00156493
18,3834.48,0.9606,0.65385,1.00697,0.8524,0.69939,0.81145,0.46601,1.14594,0.61647,0.8217,0.00155209,0.00155209,0.00155209
19,4033.8,0.94911,0.64139,0.99872,0.91343,0.73381,0.79595,0.46063,1.11975,0.66805,0.82807,0.00153854,0.00153854,0.00153854
20,4232.78,0.93255,0.63697,1.00163,0.94298,0.72003,0.83043,0.50619,1.09146,0.57721,0.76014,0.00152431,0.00152431,0.00152431
21,4436.04,0.93896,0.62748,0.99272,0.93831,0.74919,0.85173,0.49646,1.13116,0.61722,0.78669,0.00150941,0.00150941,0.00150941
22,4637.47,0.93554,0.61355,0.99871,0.78873,0.73424,0.75888,0.44797,1.0692,0.57808,0.78167,0.00149384,0.00149384,0.00149384
23,4838.54,0.91531,0.59312,0.98478,0.95223,0.73834,0.85685,0.46902,1.17661,0.61359,0.83143,0.00147764,0.00147764,0.00147764
24,5037.93,0.90925,0.58735,0.98578,0.88096,0.8064,0.86613,0.47862,1.23591,0.80045,0.97737,0.0014608,0.0014608,0.0014608
25,5240.96,0.92299,0.58971,1.0021,0.88126,0.74779,0.83653,0.47936,1.15076,0.6581,0.79419,0.00144335,0.00144335,0.00144335
26,5440.75,0.89922,0.5852,0.98784,0.82383,0.74997,0.8257,0.50792,1.15814,0.57789,0.81503,0.00142531,0.00142531,0.00142531
27,5641.02,0.87454,0.56812,0.97017,0.88393,0.72561,0.84043,0.53687,1.09197,0.59634,0.77182,0.0014067,0.0014067,0.0014067
28,5840.5,0.86681,0.57078,0.96366,0.8464,0.83121,0.85525,0.52725,1.10207,0.55361,0.81985,0.00138753,0.00138753,0.00138753
29,6043.59,0.85063,0.54189,0.96207,0.78479,0.80009,0.89855,0.49392,1.02663,0.54387,0.746,0.00136781,0.00136781,0.00136781
30,6243.89,0.84735,0.5428,0.97702,0.90497,0.76035,0.8806,0.51577,1.01022,0.50723,0.7334,0.00134758,0.00134758,0.00134758
31,6444.08,0.8483,0.52396,0.95558,0.942,0.83417,0.88461,0.55965,1.03573,0.52592,0.75262,0.00132685,0.00132685,0.00132685
